id,number,name,form,region,type_1,type_2,ability_1,ability_2,ability_hidden,generation,legendary,mega,height,weight,hp,attack,defense,special_attack,special_defense,speed,total
215,174,Igglybuff,1,global,Normal,Fairy,Cute Charm,Competitive,Friend Guard,2,0,0,0.3,1,90,30,15,40,20,15,210
216,175,Togepi,1,global,Fairy,"",Hustle,Serene Grace,Super Luck,2,0,0,0.3,1.5,35,20,65,40,65,20,245
217,176,Togetic,1,global,Fairy,Flying,Hustle,Serene Grace,Super Luck,2,0,0,0.6,3.2,55,40,85,80,105,40,405
218,177,Natu,1,global,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,2,0,0,0.2,2,40,50,45,70,45,70,320
219,178,Xatu,1,global,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,2,0,0,1.5,15,65,75,70,95,70,95,470
220,179,Mareep,1,global,Electric,"",Static,"",Plus,2,0,0,0.6,7.8,55,40,40,65,45,35,280
221,180,Flaaffy,1,global,Electric,"",Static,"",Plus,2,0,0,0.8,13.3,70,55,55,80,60,45,365
222,181,Ampharos,1,global,Electric,"",Static,"",Plus,2,0,0,1.4,61.5,90,75,85,115,90,55,510
223,181,Mega Ampharos,1,global,Electric,Dragon,Mold Breaker,"","",2,0,1,1.4,61.5,90,95,105,165,110,45,610
224,182,Bellossom,1,global,Grass,"",Chlorophyll,"",Healer,2,0,0,0.4,5.8,75,80,95,90,100,50,490
225,183,Marill,1,global,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,2,0,0,0.4,8.5,70,20,50,20,50,40,250
226,184,Azumarill,1,global,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,2,0,0,0.8,28.5,100,50,80,60,80,50,420
227,185,Sudowoodo,1,global,Rock,"",Sturdy,Rock Head,Rattled,2,0,0,1.2,38,70,100,115,30,65,30,410
228,186,Politoed,1,global,Water,"",Water Absorb,Damp,Drizzle,2,0,0,1.1,33.9,90,75,75,90,100,70,500
229,187,Hoppip,1,global,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.4,0.5,35,35,40,35,55,50,250
230,188,Skiploom,1,global,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.6,1,55,45,50,45,65,80,340
231,189,Jumpluff,1,global,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.6,3,75,55,70,55,95,110,460
232,190,Aipom,1,global,Normal,"",Run Away,Pickup,Skill Link,2,0,0,0.6,11.5,55,70,55,40,55,85,360
233,191,Sunkern,1,global,Grass,"",Chlorophyll,Solar Power,Early Bird,2,0,0,0.3,1.8,30,30,30,30,30,30,180
234,192,Sunflora,1,global,Grass,"",Chlorophyll,Solar Power,Early Bird,2,0,0,0.8,8.5,75,75,55,105,85,30,425
235,193,Yanma,1,global,Bug,Flying,Speed Boost,Compound Eyes,Frisk,2,0,0,1.2,38,65,65,45,75,45,95,390
236,194,Wooper,1,global,Water,Ground,Damp,Water Absorb,Unaware,2,0,0,0.4,8.5,55,45,45,25,25,15,210
237,195,Quagsire,1,global,Water,Ground,Damp,Water Absorb,Unaware,2,0,0,1.4,75,95,85,85,65,65,35,430
238,196,Espeon,1,global,Psychic,"",Synchronize,"",Magic Bounce,2,0,0,0.9,26.5,65,65,60,130,95,110,525
239,197,Umbreon,1,global,Dark,"",Synchronize,"",Inner Focus,2,0,0,1,27,95,65,110,60,130,65,525
240,198,Murkrow,1,global,Dark,Flying,Insomnia,Super Luck,Prankster,2,0,0,0.5,2.1,60,85,42,85,42,91,405
241,199,Slowking,1,global,Water,Psychic,Oblivious,Super Luck,Regenerator,2,0,0,2,79.5,95,75,80,100,110,30,490
242,200,Misdreavus,1,global,Ghost,"",Levitate,"","",2,0,0,0.7,1,60,60,60,85,85,85,435
243,201,Unown,1,global,Psychic,"",Levitate,"","",2,0,0,0.5,5,48,72,48,72,48,48,336
244,202,Wobbuffet,1,global,Psychic,"",Shadow Tag,"",Telepathy,2,0,0,1.3,28.5,190,33,58,33,58,33,405
245,203,Girafarig,1,global,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,2,0,0,1.5,41.5,70,80,65,90,65,85,455
246,204,Pineco,1,global,Bug,"",Sturdy,"",Overcoat,2,0,0,0.6,7.2,50,65,90,35,35,15,290
247,205,Forretress,1,global,Bug,Steel,Sturdy,"",Overcoat,2,0,0,1.2,125.8,75,90,140,60,60,40,465
248,206,Dunsparce,1,global,Normal,"",Serene Grace,Run Away,Rattled,2,0,0,1.5,14,100,70,70,65,65,45,415
249,207,Gligar,1,global,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,2,0,0,1.1,64.8,65,75,105,35,65,85,430
250,208,Steelix,1,global,Steel,Ground,Rock Head,Sturdy,Sheer Force,2,0,0,9.2,400,75,85,200,55,65,30,510
251,208,Mega Steelix,1,global,Steel,Ground,Sand Force,"","",2,0,1,10.5,740,75,125,230,55,95,30,610
252,209,Snubbull,1,global,Fairy,"",Intimidate,Run Away,Rattled,2,0,0,0.6,7.8,60,80,50,40,40,30,300
253,210,Granbull,1,global,Fairy,"",Intimidate,Quick Feet,Rattled,2,0,0,1.4,48.7,90,120,75,60,60,45,450
254,211,Qwilfish,1,global,Water,Poison,Poison Point,Swift Swim,Intimidate,2,0,0,0.5,3.9,65,95,85,55,55,85,440
255,212,Scizor,1,global,Bug,Steel,Swarm,Technician,Light Metal,2,0,0,1.8,118,70,130,100,55,80,65,500
256,212,Mega Scizor,1,global,Bug,Steel,Technician,"","",2,0,1,2,125,70,150,140,65,100,75,600
257,213,Shuckle,1,global,Bug,Rock,Sturdy,Gluttony,Contrary,2,0,0,0.6,20.5,20,10,230,10,230,5,505
258,214,Heracross,1,global,Bug,Fighting,Swarm,Guts,Moxie,2,0,0,1.5,54,80,125,75,40,95,85,500
259,214,Mega Heracross,1,global,Bug,Fighting,Skill Link,"","",2,0,1,1.7,62.5,80,185,115,40,105,75,600
260,215,Sneasel,1,global,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,2,0,0,0.9,28,55,95,55,35,75,115,430
261,216,Teddiursa,1,global,Normal,"",Pickup,Quick Feet,Honey Gather,2,0,0,0.6,8.8,60,80,50,50,50,40,330
262,217,Ursaring,1,global,Normal,"",Guts,Quick Feet,Unnerve,2,0,0,1.8,125.8,90,130,75,75,75,55,500
263,218,Slugma,1,global,Fire,"",Magma Armor,Flame Body,Weak Armor,2,0,0,0.7,35,40,40,40,70,40,20,250
264,219,Magcargo,1,global,Fire,Rock,Magma Armor,Flame Body,Weak Armor,2,0,0,0.8,55,60,50,120,90,80,30,430
265,220,Swinub,1,global,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,2,0,0,0.4,6.5,50,50,40,30,30,50,250
266,221,Piloswine,1,global,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,2,0,0,1.1,55.8,100,100,80,60,60,50,450
267,222,Corsola,1,global,Water,Rock,Hustle,Natural Cure,Regenerator,2,0,0,0.6,5,65,55,95,65,95,35,410
268,222,Corsola,1,galarian,Ghost,"",Weak Armor,"",Cursed Body,8,0,0,0.6,0.5,65,55,100,65,100,30,415
269,223,Remoraid,1,global,Water,"",Hustle,Sniper,Moody,2,0,0,0.6,12,35,65,35,65,35,65,300
270,224,Octillery,1,global,Water,"",Suction Cups,Sniper,Moody,2,0,0,0.9,28.5,75,105,75,105,75,45,480
271,225,Delibird,1,global,Ice,Flying,Vital Spilit,Hustle,Insomnia,2,0,0,0.9,16,45,55,45,65,45,75,330
272,226,Mantine,1,global,Water,Flying,Swift Swim,Water Absorb,Water Veil,2,0,0,2.1,220,85,40,70,80,140,70,485
273,227,Skarmory,1,global,Steel,Flying,Keen Eye,Sturdy,Weak Armor,2,0,0,1.7,50.5,65,80,140,40,70,70,465
274,228,Houndour,1,global,Dark,Fire,Early Bird,Flash Fire,Unnerve,2,0,0,0.6,10.8,45,60,30,80,50,65,330
275,229,Houndoom,1,global,Dark,Fire,Early Bird,Flash Fire,Unnerve,2,0,0,1.4,35,75,90,50,110,80,95,500
276,229,Mega Houndoom,1,global,Dark,Fire,Solar Power,"","",2,0,1,1.9,49.5,75,90,90,140,90,115,600
277,230,Kingdra,1,global,Water,Dragon,Swift Swim,Sniper,Damp,2,0,0,1.8,152,75,95,95,95,95,85,540
278,231,Phanpy,1,global,Ground,"",Pickup,"",Sand Veil,2,0,0,0.5,33.5,90,60,60,40,40,40,330
279,232,Donphan,1,global,Ground,"",Sturdy,"",Sand Veil,2,0,0,1.1,120,90,120,120,60,60,50,500
280,233,Porygon2,1,global,Normal,"",Trace,Download,Analytic,2,0,0,0.6,32.5,85,80,90,105,95,60,515
281,234,Stantler,1,global,Normal,"",Intimidate,Frisk,Sap Sipper,2,0,0,1.4,71.2,73,95,62,85,65,85,465
282,235,Smeargle,1,global,Normal,"",Own Tempo,Technician,Moody,2,0,0,1.2,58,55,20,35,20,45,75,250
283,236,Tyrogue,1,global,Fighting,"",Guts,Steadfast,Vital Spilit,2,0,0,0.7,21,35,35,35,35,35,35,210
284,237,Hitmontop,1,global,Fighting,"",Intimidate,Technician,Steadfast,2,0,0,1.4,48,50,95,95,35,110,70,455
285,238,Smoochum,1,global,Ice,Psychic,Oblivious,Forewarn,Hydration,2,0,0,0.5,6,45,30,15,85,65,65,305
286,239,Elekid,1,global,Electric,"",Static,"",Vital Spilit,2,0,0,0.6,23.5,45,63,37,65,55,95,360
287,240,Magby,1,global,Fire,"",Flame Body,"",Vital Spilit,2,0,0,0.7,21.4,45,75,37,70,55,83,365
288,241,Miltank,1,global,Normal,"",Thick Fat,Scrappy,Sap Sipper,2,0,0,1.2,75.5,95,80,105,40,70,100,490
289,242,Blissey,1,global,Normal,"",Natural Cure,Serene Grace,Healer,2,0,0,1.5,46.8,255,10,10,75,135,55,540
290,243,Raikou,1,global,Electric,"",Pressure,"",Inner Focus,2,1,0,1.9,178,90,85,75,115,100,115,580
291,244,Entei,1,global,Fire,"",Pressure,"",Inner Focus,2,1,0,2.1,198,115,115,85,90,75,100,580
292,245,Suicune,1,global,Water,"",Pressure,"",Inner Focus,2,1,0,2,187,100,75,115,90,115,85,580
293,246,Larvitar,1,global,Rock,Ground,Guts,"",Sand Veil,2,0,0,0.6,72,50,64,50,45,50,41,300
294,247,Pupitar,1,global,Rock,Ground,Shed Skin,"","",2,0,0,1.2,152,70,84,70,65,70,51,410
295,248,Tyranitar,1,global,Rock,Dark,Sand Stream,"",Unnerve,2,0,0,2,202,100,134,110,95,100,61,600
296,248,Mega Tyranitar,1,global,Rock,Dark,Sand Stream,"","",2,0,1,2,255,100,164,150,95,120,71,700
297,249,Lugia,1,global,Psychic,Flying,Pressure,"",Multiscale,2,1,0,5.2,216,106,90,130,90,154,110,680
298,250,Ho-Oh,1,global,Fire,Flying,Pressure,"",Regenerator,2,1,0,3.8,199,106,130,90,110,154,90,680
299,251,Celebi,1,global,Psychic,Grass,Natural Cure,"","",2,1,0,0.6,5,100,100,100,100,100,100,600
300,252,Treecko,1,global,Grass,"",Overgrow,"",Unburden,3,0,0,0.5,5,40,45,35,65,55,70,310
301,253,Grovyle,1,global,Grass,"",Overgrow,"",Unburden,3,0,0,0.9,21.6,50,65,45,85,65,95,405
302,254,Sceptile,1,global,Grass,"",Overgrow,"",Unburden,3,0,0,1.7,52.2,70,85,65,105,85,120,530
303,254,Mega Sceptile,1,global,Grass,Dragon,Lightning Rod,"","",3,0,1,1.9,55.2,70,110,75,145,85,145,630
304,255,Torchic,1,global,Fire,"",Blaze,"",Speed Boost,3,0,0,0.4,2.5,45,60,40,70,50,45,310
305,256,Combusken,1,global,Fire,Fighting,Blaze,"",Speed Boost,3,0,0,0.9,19.5,60,85,60,85,60,55,405
306,257,Blaziken,1,global,Fire,Fighting,Blaze,"",Speed Boost,3,0,0,1.9,52,80,120,70,110,70,80,530
307,257,Mega Blaziken,1,global,Fire,Fighting,Speed Boost,"","",3,0,1,1.9,52,80,160,80,130,80,100,630
308,258,Mudkip,1,global,Water,"",Torrent,"",Damp,3,0,0,0.4,7.6,50,70,50,50,50,40,310
309,259,Marshtomp,1,global,Water,Ground,Torrent,"",Damp,3,0,0,0.7,28,70,85,70,60,70,50,405
310,260,Swampert,1,global,Water,Ground,Torrent,"",Damp,3,0,0,1.5,81.9,100,110,90,85,90,60,535
311,260,Mega Swampert,1,global,Water,Ground,Swift Swim,"","",3,0,1,1.9,102,100,150,110,95,110,70,635
312,261,Poochyena,1,global,Dark,"",Run Away,Quick Feet,Rattled,3,0,0,0.5,13.6,35,55,35,30,30,35,220
313,262,Mightyena,1,global,Dark,"",Intimidate,Quick Feet,Moxie,3,0,0,1,37,70,90,70,60,60,70,420
314,263,Zigzagoon,1,global,Normal,"",Pickup,Gluttony,Quick Feet,3,0,0,0.4,17.5,38,30,41,30,41,60,240
315,263,Zigzagoon,1,galarian,Dark,Normal,Pickup,Gluttony,Quick Feet,8,0,0,0.4,17.5,38,30,41,30,41,60,240
316,264,Linoone,1,global,Normal,"",Pickup,Gluttony,Quick Feet,3,0,0,0.5,32.5,78,70,61,50,61,100,420
317,264,Linoone,1,galarian,Dark,Normal,Pickup,Gluttony,Quick Feet,8,0,0,0.5,32.5,78,70,61,50,61,100,420
318,265,Wurmple,1,global,Bug,"",Shield Dust,"",Run Away,3,0,0,0.3,3.6,45,45,35,20,30,20,195
319,266,Silcoon,1,global,Bug,"",Shed Skin,"","",3,0,0,0.6,10,50,35,55,25,25,15,205
320,267,Beautifly,1,global,Bug,Flying,Swarm,"",Rivalry,3,0,0,1,28.4,60,70,50,100,50,65,395
321,268,Cascoon,1,global,Bug,"",Shed Skin,"","",3,0,0,0.7,11.5,50,35,55,25,25,15,205
322,269,Dustox,1,global,Bug,Poison,Shield Dust,"",Compound Eyes,3,0,0,1.2,31.6,60,50,70,50,90,65,385
323,270,Lotad,1,global,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3,0,0,0.5,2.6,40,30,30,40,50,30,220
324,271,Lombre,1,global,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3,0,0,1.2,32.5,60,50,50,60,70,50,340
325,272,Ludicolo,1,global,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3,0,0,1.5,55,80,70,70,90,100,70,480
326,273,Seedot,1,global,Grass,"",Chlorophyll,Early Bird,Pickpocket,3,0,0,0.5,4,40,40,50,30,30,30,220
327,274,Nuzleaf,1,global,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,3,0,0,1,28,70,70,40,60,40,60,340
328,275,Shiftry,1,global,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,3,0,0,1.3,59.6,90,100,60,90,60,80,480
329,276,Taillow,1,global,Normal,Flying,Guts,"",Scrappy,3,0,0,0.3,2.3,40,55,30,30,30,85,270
330,277,Swellow,1,global,Normal,Flying,Guts,"",Scrappy,3,0,0,0.7,19.8,60,85,60,75,50,125,455
331,278,Wingull,1,global,Water,Flying,Keen Eye,Hydration,Rain Dish,3,0,0,0.6,9.5,40,30,30,55,30,85,270
332,279,Pelipper,1,global,Water,Flying,Keen Eye,Drizzle,Rain Dish,3,0,0,1.2,28,60,50,100,95,70,65,440
333,280,Ralts,1,global,Psychic,Fairy,Synchronize,Trace,Telepathy,3,0,0,0.4,6.6,28,25,25,45,35,40,198
334,281,Kirlia,1,global,Psychic,Fairy,Synchronize,Trace,Telepathy,3,0,0,0.8,20.2,38,35,35,65,55,50,278
335,282,Gardevoir,1,global,Psychic,Fairy,Synchronize,Trace,Telepathy,3,0,0,1.6,48.4,68,65,65,125,115,80,518
336,282,Mega Gardevoir,1,global,Psychic,Fairy,Pixilate,"","",3,0,1,1.6,48.4,68,85,65,165,135,100,618
337,283,Surskit,1,global,Bug,Water,Swift Swim,"",Rain Dish,3,0,0,0.5,1.7,40,30,32,50,52,65,269
338,284,Masquerain,1,global,Bug,Flying,Intimidate,"",Unnerve,3,0,0,0.8,3.6,70,60,62,100,82,80,454
339,285,Shroomish,1,global,Grass,"",Effect Spore,Poison Heal,Quick Feet,3,0,0,0.4,4.5,60,40,60,40,60,35,295
340,286,Breloom,1,global,Grass,Fighting,Effect Spore,Poison Heal,Technician,3,0,0,1.2,39.2,60,130,80,60,60,70,460
341,287,Slakoth,1,global,Normal,"",Truant,"","",3,0,0,0.8,24,60,60,60,35,35,30,280
342,288,Vigoroth,1,global,Normal,"",Vital Spilit,"","",3,0,0,1.4,46.5,80,80,80,55,55,90,440
343,289,Slaking,1,global,Normal,"",Truant,"","",3,0,0,2,130.5,150,160,100,95,65,100,670
344,290,Nincada,1,global,Bug,Ground,Compound Eyes,"",Run Away,3,0,0,0.5,5.5,31,45,90,30,30,40,266
345,291,Ninjask,1,global,Bug,Flying,Speed Boost,"",Infiltrator,3,0,0,0.8,12,61,90,45,50,50,160,456
346,292,Shedinja,1,global,Bug,Ghost,Wonder Guard,"","",3,0,0,0.8,1.2,1,90,45,30,30,40,236
347,293,Whismur,1,global,Normal,"",Soundproof,"",Rattled,3,0,0,0.6,16.3,64,51,23,51,23,28,240
348,294,Loudred,1,global,Normal,"",Soundproof,"",Scrappy,3,0,0,1,40.5,84,71,43,71,43,48,360
349,295,Exploud,1,global,Normal,"",Soundproof,"",Scrappy,3,0,0,1.5,84,104,91,63,91,73,68,490
350,296,Makuhita,1,global,Fighting,"",Thick Fat,Guts,Sheer Force,3,0,0,1,86.4,72,60,30,20,30,25,237
351,297,Hariyama,1,global,Fighting,"",Thick Fat,Guts,Sheer Force,3,0,0,2.3,253.8,144,120,60,40,60,50,474
352,298,Azurill,1,global,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,3,0,0,0.2,2,50,20,40,20,40,20,190
353,299,Nosepass,1,global,Rock,"",Sturdy,Magnet Pull,Sand Force,3,0,0,1,97,30,45,135,45,90,30,375
354,300,Skitty,1,global,Normal,"",Cute Charm,Normalize,Wonder Skin,3,0,0,0.6,11,50,45,45,35,35,50,260
355,301,Delcatty,1,global,Normal,"",Cute Charm,Normalize,Wonder Skin,3,0,0,1.1,32.6,70,65,65,55,55,90,400
356,302,Sableye,1,global,Dark,Ghost,Keen Eye,Stall,Prankster,3,0,0,0.5,11,50,75,75,65,65,50,380
357,302,Mega Sableye,1,global,Dark,Ghost,Magic Bounce,"","",3,0,1,0.5,161,50,85,125,85,115,20,480
358,303,Mawile,1,global,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,3,0,0,0.6,11.5,50,85,85,55,55,50,380
359,303,Mega Mawile,1,global,Steel,Fairy,Huge Power,"","",3,0,1,1,23.5,50,105,125,55,95,50,480
360,304,Aron,1,global,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3,0,0,0.4,60,50,70,100,40,40,30,330
361,305,Lairon,1,global,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3,0,0,0.9,120,60,90,140,50,50,40,430
362,306,Aggron,1,global,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3,0,0,2.1,360,70,110,180,60,60,50,530
363,306,Mega Aggron,1,global,Steel,"",Filter,"","",3,0,1,2.2,395,70,140,230,60,80,50,630
364,307,Meditite,1,global,Fighting,Psychic,Pure Power,"",Telepathy,3,0,0,0.6,11.2,30,40,55,40,55,60,280
365,308,Medicham,1,global,Fighting,Psychic,Pure Power,"",Telepathy,3,0,0,1.3,31.5,60,60,75,60,75,80,410
366,308,Mega Medicham,1,global,Fighting,Psychic,Pure Power,"","",3,0,1,1.3,31.5,60,100,85,80,85,100,510
367,309,Electrike,1,global,Electric,"",Static,Lightning Rod,Minus,3,0,0,0.6,15.2,40,45,40,65,40,65,295
368,310,Manectric,1,global,Electric,"",Static,Lightning Rod,Minus,3,0,0,1.5,40.2,70,75,60,105,60,105,475
369,310,Mega Manectric,1,global,Electric,"",Intimidate,"","",3,0,1,1.8,44,70,75,80,135,80,135,575
370,311,Plusle,1,global,Electric,"",Plus,"",Lightning Rod,3,0,0,0.4,4.2,60,50,40,85,75,95,405
371,312,Minun,1,global,Electric,"",Minus,"",Lightning Rod,3,0,0,0.4,4.2,60,40,50,75,85,95,405
372,313,Volbeat,1,global,Bug,"",Illuminate,Swarm,Prankster,3,0,0,0.7,17.7,65,73,75,47,85,85,430
373,314,Illumise,1,global,Bug,"",Oblivious,Tinted Lens,Prankster,3,0,0,0.6,17.7,65,47,75,73,85,85,430
374,315,Roselia,1,global,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,3,0,0,0.3,2,50,60,45,100,80,65,400
375,316,Gulpin,1,global,Poison,"",Liquid Ooze,Sticky Hold,Gluttony,3,0,0,0.4,10.3,70,43,53,43,53,40,302
376,317,Swalot,1,global,Poison,"",Liquid Ooze,Sticky Hold,Gluttony,3,0,0,1.7,80,100,73,83,73,83,55,467
377,318,Carvanha,1,global,Water,Dark,Rough Skin,"",Speed Boost,3,0,0,0.8,20.8,45,90,20,65,20,65,305
378,319,Sharpedo,1,global,Water,Dark,Rough Skin,"",Speed Boost,3,0,0,1.8,88.8,70,120,40,95,40,95,460
379,319,Mega Sharpedo,1,global,Water,Dark,Strong Jaw,"","",3,0,1,2.5,130.3,70,140,70,110,65,105,560
380,320,Wailmer,1,global,Water,"",Water Veil,Oblivious,Pressure,3,0,0,2,130,130,70,35,70,35,60,400
381,321,Wailord,1,global,Water,"",Water Veil,Oblivious,Pressure,3,0,0,14.5,398,170,90,45,90,45,60,500
382,322,Numel,1,global,Fire,Ground,Oblivious,Simple,Own Tempo,3,0,0,0.7,24,60,60,40,65,45,35,305
383,323,Camerupt,1,global,Fire,Ground,Magma Armor,Solid Rock,Anger Point,3,0,0,1.9,220,70,100,70,105,75,40,460
384,323,Mega Camerupt,1,global,Fire,Ground,Sheer Force,"","",3,0,1,2.5,320.5,70,120,100,145,105,20,560
385,324,Torkoal,1,global,Fire,"",White Smoke,Drought,Shell Armor,3,0,0,0.5,80.4,70,85,140,85,70,20,470
386,325,Spoink,1,global,Psychic,"",Thick Fat,Own Tempo,Gluttony,3,0,0,0.7,30.6,60,25,35,70,80,60,330
387,326,Grumpig,1,global,Psychic,"",Thick Fat,Own Tempo,Gluttony,3,0,0,0.9,71.5,80,45,65,90,110,80,470
388,327,Spinda,1,global,Normal,"",Own Tempo,Tangled Feet,Contrary,3,0,0,1.1,5,60,60,60,60,60,60,360
389,328,Trapinch,1,global,Ground,"",Hyper Cutter,Arena Trap,Sheer Force,3,0,0,0.7,15,45,100,45,45,45,10,290
390,329,Vibrava,1,global,Ground,Dragon,Levitate,"","",3,0,0,1.1,15.3,50,70,50,50,50,70,340
391,330,Flygon,1,global,Ground,Dragon,Levitate,"","",3,0,0,2,82,80,100,80,80,80,100,520
392,331,Cacnea,1,global,Grass,"",Sand Veil,"",Water Absorb,3,0,0,0.4,51.3,50,85,40,85,40,35,335
393,332,Cacturne,1,global,Grass,Dark,Sand Veil,"",Water Absorb,3,0,0,1.3,77.4,70,115,60,115,60,55,475
394,333,Swablu,1,global,Normal,Flying,Natural Cure,"",Cloud Nine,3,0,0,0.4,1.2,45,40,60,40,75,50,310
395,334,Altaria,1,global,Dragon,Flying,Natural Cure,"",Cloud Nine,3,0,0,1.1,20.6,75,70,90,70,105,80,490
396,334,Mega Altaria,1,global,Dragon,Fairy,Pixilate,"","",3,0,1,1.5,20.6,75,110,110,110,105,80,590
397,335,Zangoose,1,global,Normal,"",Immunity,"",Toxic Boost,3,0,0,1.3,40.3,73,115,60,60,60,90,458
398,336,Seviper,1,global,Poison,"",Shed Skin,"",Infiltrator,3,0,0,2.7,52.5,73,100,60,100,60,65,458
399,337,Lunatone,1,global,Rock,Psychic,Levitate,"","",3,0,0,1,168,90,55,65,95,85,70,460
400,338,Solrock,1,global,Rock,Psychic,Levitate,"","",3,0,0,1.2,154,90,95,85,55,65,70,460
401,339,Barboach,1,global,Water,Ground,Oblivious,Anticipation,Hydration,3,0,0,0.4,1.9,50,48,43,46,41,60,288
402,340,Whiscash,1,global,Water,Ground,Oblivious,Anticipation,Hydration,3,0,0,0.9,23.6,110,78,73,76,71,60,468
403,341,Corphish,1,global,Water,"",Hyper Cutter,Shell Armor,Adaptability,3,0,0,0.6,11.5,43,80,65,50,35,35,308
404,342,Crawdaunt,1,global,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,3,0,0,1.1,32.8,63,120,85,90,55,55,468
405,343,Baltoy,1,global,Ground,Psychic,Levitate,"","",3,0,0,0.5,21.5,40,40,55,40,70,55,300
406,344,Claydol,1,global,Ground,Psychic,Levitate,"","",3,0,0,1.5,108,60,70,105,70,120,75,500
407,345,Lileep,1,global,Rock,Grass,Suction Cups,"",Storm Drain,3,0,0,1,23.8,66,41,77,61,87,23,355
408,346,Cradily,1,global,Rock,Grass,Suction Cups,"",Storm Drain,3,0,0,1.5,60.4,86,81,97,81,107,43,495
409,347,Anorith,1,global,Rock,Bug,Battle Armor,"",Swift Swim,3,0,0,0.7,12.5,45,95,50,40,50,75,355
410,348,Armaldo,1,global,Rock,Bug,Battle Armor,"",Swift Swim,3,0,0,1.5,68.2,75,125,100,70,80,45,495
411,349,Feebas,1,global,Water,"",Swift Swim,Oblivious,Adaptability,3,0,0,0.6,7.4,20,15,20,10,55,80,200
412,350,Milotic,1,global,Water,"",Marvel Scale,Competitive,Cute Charm,3,0,0,6.2,162,95,60,79,100,125,81,540
413,351,Castform,1,global,Normal,"",Forecast,"","",3,0,0,0.3,0.8,70,70,70,70,70,70,420
414,351,Castform,1,global,Fire,"",Forecast,"","",3,0,0,0.3,0.8,70,70,70,70,70,70,420
415,351,Castform,1,global,Water,"",Forecast,"","",3,0,0,0.3,0.8,70,70,70,70,70,70,420
416,351,Castform,1,global,Ice,"",Forecast,"","",3,0,0,0.3,0.8,70,70,70,70,70,70,420
417,352,Kecleon,1,global,Normal,"",Color Change,"",Protean,3,0,0,1,22,60,90,70,60,120,40,440
418,353,Shuppet,1,global,Ghost,"",Insomnia,Frisk,Cursed Body,3,0,0,0.6,2.3,44,75,35,63,33,45,295
419,354,Banette,1,global,Ghost,"",Insomnia,Frisk,Cursed Body,3,0,0,1.1,12.5,64,115,65,83,63,65,455
420,354,Mega Banette,1,global,Ghost,"",Prankster,"","",3,0,1,1.2,13,64,165,75,93,83,75,555
421,355,Duskull,1,global,Ghost,"",Levitate,"",Frisk,3,0,0,0.8,15,20,40,90,30,90,25,295
422,356,Dusclops,1,global,Ghost,"",Pressure,"",Frisk,3,0,0,1.6,30.6,40,70,130,60,130,25,455
423,357,Tropius,1,global,Grass,Flying,Chlorophyll,Solar Power,Harvest,3,0,0,2,100,99,68,83,72,87,51,460
424,358,Chimecho,1,global,Psychic,"",Levitate,"","",3,0,0,0.6,1,75,50,80,95,90,65,455
425,359,Absol,1,global,Dark,"",Pressure,Super Luck,Justified,3,0,0,1.2,47,65,130,60,75,60,75,465
426,359,Mega Absol,1,global,Dark,"",Magic Bounce,"","",3,0,1,1.2,49,65,150,60,115,60,115,565
427,360,Wynaut,1,global,Psychic,"",Shadow Tag,"",Telepathy,3,0,0,0.6,14,95,23,48,23,48,23,260
428,361,Snorunt,1,global,Ice,"",Inner Focus,Ice Body,Moody,3,0,0,0.7,16.8,50,50,50,50,50,50,300
429,362,Glalie,1,global,Ice,"",Inner Focus,Ice Body,Moody,3,0,0,1.5,256.5,80,80,80,80,80,80,480
430,362,Mega Glalie,1,global,Ice,"",Refrigerate,"","",3,0,1,2.1,350.2,80,120,80,120,80,100,580
431,363,Spheal,1,global,Ice,Water,Thick Fat,Ice Body,Oblivious,3,0,0,0.8,39.5,70,40,50,55,50,25,290
432,364,Sealeo,1,global,Ice,Water,Thick Fat,Ice Body,Oblivious,3,0,0,1.1,87.6,90,60,70,75,70,45,410
