id,number,name,form,region,type_1,type_2,ability_1,ability_2,ability_hidden,generation,legendary,mega,height,weight,hp,attack,defense,special_attack,special_defense,speed,total,enabled,rarity_tier,gender
188,149,Dragonite,0,global,Dragon,Flying,Inner Focus,"",Multiscale,1,0,0,2.2,210,91,134,95,100,100,80,600,1,ultra-rare,mf
189,150,Mewtwo,0,global,Psychic,"",Pressure,"",Unnerve,1,1,0,2,122,106,110,90,154,90,130,680,1,ultra-rare,uk
190,150,Mega Mewtwo X,0,global,Psychic,Fighting,Steadfast,"","",1,1,1,2.3,127,106,190,100,154,100,130,780,1,ultra-rare,uk
191,150,Mega Mewtwo Y,1,global,Psychic,"",Insomnia,"","",1,1,1,1.5,33,106,150,70,194,120,140,780,1,ultra-rare,uk
192,151,Mew,0,global,Psychic,"",Synchronize,"","",1,1,0,0.4,4,100,100,100,100,100,100,600,1,ultra-rare,uk
193,152,Chikorita,0,global,Grass,"",Overgrow,"",Leaf guard,2,0,0,0.9,6.4,45,49,65,49,65,45,318,1,ultra-common,mf
194,153,Bayleef,0,global,Grass,"",Overgrow,"",Leaf guard,2,0,0,1.2,15.8,60,62,80,63,80,60,405,1,common,mf
195,154,Meganium,0,global,Grass,"",Overgrow,"",Leaf guard,2,0,0,1.8,100.5,80,82,100,83,100,80,525,1,rare,fo
196,155,Cyndaquil,0,global,Fire,"",Blaze,"",Flash Fire,2,0,0,0.5,7.9,39,52,43,60,50,65,309,1,ultra-common,mf
197,156,Quilava,0,global,Fire,"",Blaze,"",Flash Fire,2,0,0,0.9,19,58,64,58,80,65,80,405,1,common,mf
198,157,Typhlosion,0,global,Fire,"",Blaze,"",Flash Fire,2,0,0,1.7,79.5,78,84,78,109,85,100,534,1,rare,mf
199,158,Totodile,0,global,Water,"",Torrent,"",Sheer Force,2,0,0,0.6,9.5,50,65,64,44,48,43,314,1,ultra-common,mf
200,159,Croconaw,0,global,Water,"",Torrent,"",Sheer Force,2,0,0,1.1,25,65,80,80,59,63,58,405,1,common,mf
201,160,Feraligatr,0,global,Water,"",Torrent,"",Sheer Force,2,0,0,2.3,88.8,85,105,100,79,83,78,530,1,rare,mf
202,161,Sentret,0,global,Normal,"",Run Away,Keen Eye,Frisk,2,0,0,0.8,6,35,46,34,35,45,20,215,1,ultra-common,mf
203,162,Furret,0,global,Normal,"",Run Away,Keen Eye,Frisk,2,0,0,1.8,32.5,85,76,64,45,55,90,415,1,ultra-common,mf
204,163,Hoothoot,0,global,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,2,0,0,0.7,21.2,60,30,30,36,56,50,262,1,ultra-common,mf
205,164,Noctowl,0,global,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,2,0,0,1.6,40.8,100,50,50,86,96,70,452,1,common,mf
206,165,Ledyba,0,global,Bug,Flying,Swarm,Early Bird,Rattled,2,0,0,1,10.8,40,20,30,40,80,55,265,1,ultra-common,fo
207,166,Ledian,0,global,Bug,Flying,Swarm,Early Bird,Iron Fist,2,0,0,1.4,35.6,55,35,50,55,110,85,390,1,ultra-common,fo
208,167,Spinarak,0,global,Bug,Poison,Swarm,Insomnia,Sniper,2,0,0,0.5,8.5,40,60,40,40,40,30,250,1,ultra-common,mf
209,168,Ariados,0,global,Bug,Poison,Swarm,Insomnia,Sniper,2,0,0,1.1,33.5,70,90,70,60,70,40,400,1,ultra-common,mf
210,169,Crobat,0,global,Poison,Flying,Inner Focus,"",Infiltrator,2,0,0,1.8,75,85,90,80,70,80,130,535,1,rare,mf
211,170,Chinchou,0,global,Water,Electric,Volt Absorb,Illuminate,Water Absorb,2,0,0,0.5,12,75,38,38,56,56,67,330,1,ultra-common,mf
212,171,Lanturn,0,global,Water,Electric,Volt Absorb,Illuminate,Water Absorb,2,0,0,1.2,22.5,125,58,58,76,76,67,460,1,common,mf
213,172,Pichu,0,global,Electric,"",Static,"",Lightning Rod,2,0,0,0.3,2,20,40,15,35,35,60,205,1,ultra-common,mf
214,173,Cleffa,0,global,Fairy,"",Cute Charm,Magic Guard,Friend Guard,2,0,0,0.3,3,50,25,28,45,55,15,218,1,ultra-common,mf
215,174,Igglybuff,0,global,Normal,Fairy,Cute Charm,Competitive,Friend Guard,2,0,0,0.3,1,90,30,15,40,20,15,210,1,ultra-common,mf
216,175,Togepi,0,global,Fairy,"",Hustle,Serene Grace,Super Luck,2,0,0,0.3,1.5,35,20,65,40,65,20,245,1,ultra-common,mf
217,176,Togetic,0,global,Fairy,Flying,Hustle,Serene Grace,Super Luck,2,0,0,0.6,3.2,55,40,85,80,105,40,405,1,ultra-common,mf
218,177,Natu,0,global,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,2,0,0,0.2,2,40,50,45,70,45,70,320,1,ultra-common,mf
219,178,Xatu,0,global,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,2,0,0,1.5,15,65,75,70,95,70,95,470,1,common,fo
220,179,Mareep,0,global,Electric,"",Static,"",Plus,2,0,0,0.6,7.8,55,40,40,65,45,35,280,1,ultra-common,mf
221,180,Flaaffy,0,global,Electric,"",Static,"",Plus,2,0,0,0.8,13.3,70,55,55,80,60,45,365,1,ultra-common,mf
222,181,Ampharos,0,global,Electric,"",Static,"",Plus,2,0,0,1.4,61.5,90,75,85,115,90,55,510,1,common,mf
223,181,Mega Ampharos,0,global,Electric,Dragon,Mold Breaker,"","",2,0,1,1.4,61.5,90,95,105,165,110,45,610,1,rare,mf
224,182,Bellossom,0,global,Grass,"",Chlorophyll,"",Healer,2,0,0,0.4,5.8,75,80,95,90,100,50,490,1,common,mf
225,183,Marill,0,global,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,2,0,0,0.4,8.5,70,20,50,20,50,40,250,1,ultra-common,mf
226,184,Azumarill,0,global,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,2,0,0,0.8,28.5,100,50,80,60,80,50,420,1,ultra-common,mf
227,185,Sudowoodo,0,global,Rock,"",Sturdy,Rock Head,Rattled,2,0,0,1.2,38,70,100,115,30,65,30,410,1,ultra-common,fo
228,186,Politoed,0,global,Water,"",Water Absorb,Damp,Drizzle,2,0,0,1.1,33.9,90,75,75,90,100,70,500,1,common,fo
229,187,Hoppip,0,global,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.4,0.5,35,35,40,35,55,50,250,1,ultra-common,mf
230,188,Skiploom,0,global,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.6,1,55,45,50,45,65,80,340,1,ultra-common,mf
231,189,Jumpluff,0,global,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.6,3,75,55,70,55,95,110,460,1,common,mf
232,190,Aipom,0,global,Normal,"",Run Away,Pickup,Skill Link,2,0,0,0.6,11.5,55,70,55,40,55,85,360,1,ultra-common,fo
233,191,Sunkern,0,global,Grass,"",Chlorophyll,Solar Power,Early Bird,2,0,0,0.3,1.8,30,30,30,30,30,30,180,1,ultra-common,mf
234,192,Sunflora,0,global,Grass,"",Chlorophyll,Solar Power,Early Bird,2,0,0,0.8,8.5,75,75,55,105,85,30,425,1,common,mf
235,193,Yanma,0,global,Bug,Flying,Speed Boost,Compound Eyes,Frisk,2,0,0,1.2,38,65,65,45,75,45,95,390,1,ultra-common,mf
236,194,Wooper,0,global,Water,Ground,Damp,Water Absorb,Unaware,2,0,0,0.4,8.5,55,45,45,25,25,15,210,1,ultra-common,fo
237,195,Quagsire,0,global,Water,Ground,Damp,Water Absorb,Unaware,2,0,0,1.4,75,95,85,85,65,65,35,430,1,common,fo
238,196,Espeon,0,global,Psychic,"",Synchronize,"",Magic Bounce,2,0,0,0.9,26.5,65,65,60,130,95,110,525,1,rare,mf
239,197,Umbreon,0,global,Dark,"",Synchronize,"",Inner Focus,2,0,0,1,27,95,65,110,60,130,65,525,1,rare,mf
240,198,Murkrow,0,global,Dark,Flying,Insomnia,Super Luck,Prankster,2,0,0,0.5,2.1,60,85,42,85,42,91,405,1,ultra-common,fo
241,199,Slowking,0,global,Water,Psychic,Oblivious,Super Luck,Regenerator,2,0,0,2,79.5,95,75,80,100,110,30,490,1,common,mf
242,200,Misdreavus,0,global,Ghost,"",Levitate,"","",2,0,0,0.7,1,60,60,60,85,85,85,435,1,common,mf
243,201,Unown,0,global,Psychic,"",Levitate,"","",2,0,0,0.5,5,48,72,48,72,48,48,336,1,rare,uk
244,202,Wobbuffet,0,global,Psychic,"",Shadow Tag,"",Telepathy,2,0,0,1.3,28.5,190,33,58,33,58,33,405,1,common,fo
245,203,Girafarig,0,global,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,2,0,0,1.5,41.5,70,80,65,90,65,85,455,1,common,fo
246,204,Pineco,0,global,Bug,"",Sturdy,"",Overcoat,2,0,0,0.6,7.2,50,65,90,35,35,15,290,1,ultra-common,mf
247,205,Forretress,0,global,Bug,Steel,Sturdy,"",Overcoat,2,0,0,1.2,125.8,75,90,140,60,60,40,465,1,common,mf
248,206,Dunsparce,0,global,Normal,"",Serene Grace,Run Away,Rattled,2,0,0,1.5,14,100,70,70,65,65,45,415,1,ultra-common,mf
249,207,Gligar,0,global,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,2,0,0,1.1,64.8,65,75,105,35,65,85,430,1,common,fo
250,208,Steelix,0,global,Steel,Ground,Rock Head,Sturdy,Sheer Force,2,0,0,9.2,400,75,85,200,55,65,30,510,1,rare,fo
251,208,Mega Steelix,0,global,Steel,Ground,Sand Force,"","",2,0,1,10.5,740,75,125,230,55,95,30,610,1,rare,fo
252,209,Snubbull,0,global,Fairy,"",Intimidate,Run Away,Rattled,2,0,0,0.6,7.8,60,80,50,40,40,30,300,1,ultra-common,mf
253,210,Granbull,0,global,Fairy,"",Intimidate,Quick Feet,Rattled,2,0,0,1.4,48.7,90,120,75,60,60,45,450,1,common,mf
254,211,Qwilfish,0,global,Water,Poison,Poison Point,Swift Swim,Intimidate,2,0,0,0.5,3.9,65,95,85,55,55,85,440,1,common,mf
255,212,Scizor,0,global,Bug,Steel,Swarm,Technician,Light Metal,2,0,0,1.8,118,70,130,100,55,80,65,500,1,rare,fo
256,212,Mega Scizor,0,global,Bug,Steel,Technician,"","",2,0,1,2,125,70,150,140,65,100,75,600,1,rare,fo
257,213,Shuckle,0,global,Bug,Rock,Sturdy,Gluttony,Contrary,2,0,0,0.6,20.5,20,10,230,10,230,5,505,1,common,mf
258,214,Heracross,0,global,Bug,Fighting,Swarm,Guts,Moxie,2,0,0,1.5,54,80,125,75,40,95,85,500,1,common,fo
259,214,Mega Heracross,0,global,Bug,Fighting,Skill Link,"","",2,0,1,1.7,62.5,80,185,115,40,105,75,600,1,rare,fo
260,215,Sneasel,0,global,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,2,0,0,0.9,28,55,95,55,35,75,115,430,1,common,fo
261,216,Teddiursa,0,global,Normal,"",Pickup,Quick Feet,Honey Gather,2,0,0,0.6,8.8,60,80,50,50,50,40,330,1,ultra-common,mf
262,217,Ursaring,0,global,Normal,"",Guts,Quick Feet,Unnerve,2,0,0,1.8,125.8,90,130,75,75,75,55,500,1,common,fo
263,218,Slugma,0,global,Fire,"",Magma Armor,Flame Body,Weak Armor,2,0,0,0.7,35,40,40,40,70,40,20,250,1,ultra-common,mf
264,219,Magcargo,0,global,Fire,Rock,Magma Armor,Flame Body,Weak Armor,2,0,0,0.8,55,60,50,120,90,80,30,430,1,common,mf
265,220,Swinub,0,global,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,2,0,0,0.4,6.5,50,50,40,30,30,50,250,1,ultra-common,mf
266,221,Piloswine,0,global,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,2,0,0,1.1,55.8,100,100,80,60,60,50,450,1,common,fo
267,222,Corsola,0,global,Water,Rock,Hustle,Natural Cure,Regenerator,2,0,0,0.6,5,65,55,95,65,95,35,410,1,ultra-common,mf
268,222,Corsola,0,galarian,Ghost,"",Weak Armor,"",Cursed Body,8,0,0,0.6,0.5,65,55,100,65,100,30,415,1,ultra-common,mf
269,223,Remoraid,0,global,Water,"",Hustle,Sniper,Moody,2,0,0,0.6,12,35,65,35,65,35,65,300,1,ultra-common,mf
270,224,Octillery,0,global,Water,"",Suction Cups,Sniper,Moody,2,0,0,0.9,28.5,75,105,75,105,75,45,480,1,common,fo
271,225,Delibird,0,global,Ice,Flying,Vital Spilit,Hustle,Insomnia,2,0,0,0.9,16,45,55,45,65,45,75,330,1,ultra-common,mf
272,226,Mantine,0,global,Water,Flying,Swift Swim,Water Absorb,Water Veil,2,0,0,2.1,220,85,40,70,80,140,70,485,1,common,mf
273,227,Skarmory,0,global,Steel,Flying,Keen Eye,Sturdy,Weak Armor,2,0,0,1.7,50.5,65,80,140,40,70,70,465,1,common,mf
274,228,Houndour,0,global,Dark,Fire,Early Bird,Flash Fire,Unnerve,2,0,0,0.6,10.8,45,60,30,80,50,65,330,1,ultra-common,mf
275,229,Houndoom,0,global,Dark,Fire,Early Bird,Flash Fire,Unnerve,2,0,0,1.4,35,75,90,50,110,80,95,500,1,common,fo
276,229,Mega Houndoom,0,global,Dark,Fire,Solar Power,"","",2,0,1,1.9,49.5,75,90,90,140,90,115,600,1,rare,fo
277,230,Kingdra,0,global,Water,Dragon,Swift Swim,Sniper,Damp,2,0,0,1.8,152,75,95,95,95,95,85,540,1,rare,mf
278,231,Phanpy,0,global,Ground,"",Pickup,"",Sand Veil,2,0,0,0.5,33.5,90,60,60,40,40,40,330,1,ultra-common,mf
279,232,Donphan,0,global,Ground,"",Sturdy,"",Sand Veil,2,0,0,1.1,120,90,120,120,60,60,50,500,1,common,fo
280,233,Porygon2,0,global,Normal,"",Trace,Download,Analytic,2,0,0,0.6,32.5,85,80,90,105,95,60,515,1,rare,uk
281,234,Stantler,0,global,Normal,"",Intimidate,Frisk,Sap Sipper,2,0,0,1.4,71.2,73,95,62,85,65,85,465,1,common,mf
282,235,Smeargle,0,global,Normal,"",Own Tempo,Technician,Moody,2,0,0,1.2,58,55,20,35,20,45,75,250,1,ultra-common,mf
283,236,Tyrogue,0,global,Fighting,"",Guts,Steadfast,Vital Spilit,2,0,0,0.7,21,35,35,35,35,35,35,210,1,ultra-common,mo
284,237,Hitmontop,0,global,Fighting,"",Intimidate,Technician,Steadfast,2,0,0,1.4,48,50,95,95,35,110,70,455,1,common,mo
285,238,Smoochum,0,global,Ice,Psychic,Oblivious,Forewarn,Hydration,2,0,0,0.5,6,45,30,15,85,65,65,305,1,ultra-common,fo
286,239,Elekid,0,global,Electric,"",Static,"",Vital Spilit,2,0,0,0.6,23.5,45,63,37,65,55,95,360,1,ultra-common,mf
287,240,Magby,0,global,Fire,"",Flame Body,"",Vital Spilit,2,0,0,0.7,21.4,45,75,37,70,55,83,365,1,ultra-common,mf
288,241,Miltank,0,global,Normal,"",Thick Fat,Scrappy,Sap Sipper,2,0,0,1.2,75.5,95,80,105,40,70,100,490,1,common,fo
289,242,Blissey,0,global,Normal,"",Natural Cure,Serene Grace,Healer,2,0,0,1.5,46.8,255,10,10,75,135,55,540,1,ultra-rare,fo
290,243,Raikou,0,global,Electric,"",Pressure,"",Inner Focus,2,1,0,1.9,178,90,85,75,115,100,115,580,1,ultra-rare,uk
291,244,Entei,0,global,Fire,"",Pressure,"",Inner Focus,2,1,0,2.1,198,115,115,85,90,75,100,580,1,ultra-rare,uk
292,245,Suicune,0,global,Water,"",Pressure,"",Inner Focus,2,1,0,2,187,100,75,115,90,115,85,580,1,ultra-rare,uk
293,246,Larvitar,0,global,Rock,Ground,Guts,"",Sand Veil,2,0,0,0.6,72,50,64,50,45,50,41,300,1,ultra-common,mf
294,247,Pupitar,0,global,Rock,Ground,Shed Skin,"","",2,0,0,1.2,152,70,84,70,65,70,51,410,1,ultra-common,mf
295,248,Tyranitar,0,global,Rock,Dark,Sand Stream,"",Unnerve,2,0,0,2,202,100,134,110,95,100,61,600,1,ultra-rare,mf
296,248,Mega Tyranitar,0,global,Rock,Dark,Sand Stream,"","",2,0,1,2,255,100,164,150,95,120,71,700,1,rare,mf
297,249,Lugia,0,global,Psychic,Flying,Pressure,"",Multiscale,2,1,0,5.2,216,106,90,130,90,154,110,680,1,ultra-rare,uk
298,250,Ho-Oh,0,global,Fire,Flying,Pressure,"",Regenerator,2,1,0,3.8,199,106,130,90,110,154,90,680,1,ultra-rare,uk
299,251,Celebi,0,global,Psychic,Grass,Natural Cure,"","",2,1,0,0.6,5,100,100,100,100,100,100,600,1,ultra-rare,uk
300,252,Treecko,0,global,Grass,"",Overgrow,"",Unburden,3,0,0,0.5,5,40,45,35,65,55,70,310,1,ultra-common,mf
301,253,Grovyle,0,global,Grass,"",Overgrow,"",Unburden,3,0,0,0.9,21.6,50,65,45,85,65,95,405,1,common,mf
302,254,Sceptile,0,global,Grass,"",Overgrow,"",Unburden,3,0,0,1.7,52.2,70,85,65,105,85,120,530,1,rare,mf
303,254,Mega Sceptile,0,global,Grass,Dragon,Lightning Rod,"","",3,0,1,1.9,55.2,70,110,75,145,85,145,630,1,rare,mf
304,255,Torchic,0,global,Fire,"",Blaze,"",Speed Boost,3,0,0,0.4,2.5,45,60,40,70,50,45,310,1,ultra-common,fo
305,256,Combusken,0,global,Fire,Fighting,Blaze,"",Speed Boost,3,0,0,0.9,19.5,60,85,60,85,60,55,405,1,common,fo
306,257,Blaziken,0,global,Fire,Fighting,Blaze,"",Speed Boost,3,0,0,1.9,52,80,120,70,110,70,80,530,1,rare,fo
307,257,Mega Blaziken,0,global,Fire,Fighting,Speed Boost,"","",3,0,1,1.9,52,80,160,80,130,80,100,630,1,rare,fo
308,258,Mudkip,0,global,Water,"",Torrent,"",Damp,3,0,0,0.4,7.6,50,70,50,50,50,40,310,1,ultra-common,mf
309,259,Marshtomp,0,global,Water,Ground,Torrent,"",Damp,3,0,0,0.7,28,70,85,70,60,70,50,405,1,common,mf
310,260,Swampert,0,global,Water,Ground,Torrent,"",Damp,3,0,0,1.5,81.9,100,110,90,85,90,60,535,1,rare,mf
311,260,Mega Swampert,0,global,Water,Ground,Swift Swim,"","",3,0,1,1.9,102,100,150,110,95,110,70,635,1,rare,mf
312,261,Poochyena,0,global,Dark,"",Run Away,Quick Feet,Rattled,3,0,0,0.5,13.6,35,55,35,30,30,35,220,1,ultra-common,mf
313,262,Mightyena,0,global,Dark,"",Intimidate,Quick Feet,Moxie,3,0,0,1,37,70,90,70,60,60,70,420,1,ultra-common,mf
314,263,Zigzagoon,0,global,Normal,"",Pickup,Gluttony,Quick Feet,3,0,0,0.4,17.5,38,30,41,30,41,60,240,1,ultra-common,mf
315,263,Zigzagoon,0,galarian,Dark,Normal,Pickup,Gluttony,Quick Feet,8,0,0,0.4,17.5,38,30,41,30,41,60,240,1,ultra-common,mf
316,264,Linoone,0,global,Normal,"",Pickup,Gluttony,Quick Feet,3,0,0,0.5,32.5,78,70,61,50,61,100,420,1,ultra-common,mf
317,264,Linoone,0,galarian,Dark,Normal,Pickup,Gluttony,Quick Feet,8,0,0,0.5,32.5,78,70,61,50,61,100,420,1,ultra-common,mf
318,265,Wurmple,0,global,Bug,"",Shield Dust,"",Run Away,3,0,0,0.3,3.6,45,45,35,20,30,20,195,1,ultra-common,mf
319,266,Silcoon,0,global,Bug,"",Shed Skin,"","",3,0,0,0.6,10,50,35,55,25,25,15,205,1,ultra-common,mf
320,267,Beautifly,0,global,Bug,Flying,Swarm,"",Rivalry,3,0,0,1,28.4,60,70,50,100,50,65,395,1,ultra-common,fo
321,268,Cascoon,0,global,Bug,"",Shed Skin,"","",3,0,0,0.7,11.5,50,35,55,25,25,15,205,1,ultra-common,mf
322,269,Dustox,0,global,Bug,Poison,Shield Dust,"",Compound Eyes,3,0,0,1.2,31.6,60,50,70,50,90,65,385,1,ultra-common,fo
323,270,Lotad,0,global,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3,0,0,0.5,2.6,40,30,30,40,50,30,220,1,ultra-common,mf
324,271,Lombre,0,global,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3,0,0,1.2,32.5,60,50,50,60,70,50,340,1,ultra-common,mf
325,272,Ludicolo,0,global,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3,0,0,1.5,55,80,70,70,90,100,70,480,1,common,fo
326,273,Seedot,0,global,Grass,"",Chlorophyll,Early Bird,Pickpocket,3,0,0,0.5,4,40,40,50,30,30,30,220,1,ultra-common,mf
327,274,Nuzleaf,0,global,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,3,0,0,1,28,70,70,40,60,40,60,340,1,ultra-common,fo
328,275,Shiftry,0,global,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,3,0,0,1.3,59.6,90,100,60,90,60,80,480,1,common,fo
329,276,Taillow,0,global,Normal,Flying,Guts,"",Scrappy,3,0,0,0.3,2.3,40,55,30,30,30,85,270,1,ultra-common,mf
330,277,Swellow,0,global,Normal,Flying,Guts,"",Scrappy,3,0,0,0.7,19.8,60,85,60,75,50,125,455,1,common,mf
331,278,Wingull,0,global,Water,Flying,Keen Eye,Hydration,Rain Dish,3,0,0,0.6,9.5,40,30,30,55,30,85,270,1,ultra-common,mf
332,279,Pelipper,0,global,Water,Flying,Keen Eye,Drizzle,Rain Dish,3,0,0,1.2,28,60,50,100,95,70,65,440,1,common,mf
333,280,Ralts,0,global,Psychic,Fairy,Synchronize,Trace,Telepathy,3,0,0,0.4,6.6,28,25,25,45,35,40,198,1,ultra-common,mf
334,281,Kirlia,0,global,Psychic,Fairy,Synchronize,Trace,Telepathy,3,0,0,0.8,20.2,38,35,35,65,55,50,278,1,ultra-common,mf
335,282,Gardevoir,0,global,Psychic,Fairy,Synchronize,Trace,Telepathy,3,0,0,1.6,48.4,68,65,65,125,115,80,518,1,rare,mf
336,282,Mega Gardevoir,0,global,Psychic,Fairy,Pixilate,"","",3,0,1,1.6,48.4,68,85,65,165,135,100,618,1,rare,mf
337,283,Surskit,0,global,Bug,Water,Swift Swim,"",Rain Dish,3,0,0,0.5,1.7,40,30,32,50,52,65,269,1,ultra-common,mf
338,284,Masquerain,0,global,Bug,Flying,Intimidate,"",Unnerve,3,0,0,0.8,3.6,70,60,62,100,82,80,454,1,common,mf
339,285,Shroomish,0,global,Grass,"",Effect Spore,Poison Heal,Quick Feet,3,0,0,0.4,4.5,60,40,60,40,60,35,295,1,ultra-common,mf
340,286,Breloom,0,global,Grass,Fighting,Effect Spore,Poison Heal,Technician,3,0,0,1.2,39.2,60,130,80,60,60,70,460,1,common,mf
341,287,Slakoth,0,global,Normal,"",Truant,"","",3,0,0,0.8,24,60,60,60,35,35,30,280,1,ultra-common,mf
342,288,Vigoroth,0,global,Normal,"",Vital Spilit,"","",3,0,0,1.4,46.5,80,80,80,55,55,90,440,1,common,mf
343,289,Slaking,0,global,Normal,"",Truant,"","",3,0,0,2,130.5,150,160,100,95,65,100,670,1,rare,mf
344,290,Nincada,0,global,Bug,Ground,Compound Eyes,"",Run Away,3,0,0,0.5,5.5,31,45,90,30,30,40,266,1,ultra-common,mf
345,291,Ninjask,0,global,Bug,Flying,Speed Boost,"",Infiltrator,3,0,0,0.8,12,61,90,45,50,50,160,456,1,common,mf
346,292,Shedinja,0,global,Bug,Ghost,Wonder Guard,"","",3,0,0,0.8,1.2,1,90,45,30,30,40,236,1,ultra-common,uk
347,293,Whismur,0,global,Normal,"",Soundproof,"",Rattled,3,0,0,0.6,16.3,64,51,23,51,23,28,240,1,ultra-common,mf
348,294,Loudred,0,global,Normal,"",Soundproof,"",Scrappy,3,0,0,1,40.5,84,71,43,71,43,48,360,1,ultra-common,mf
349,295,Exploud,0,global,Normal,"",Soundproof,"",Scrappy,3,0,0,1.5,84,104,91,63,91,73,68,490,1,common,mf
350,296,Makuhita,0,global,Fighting,"",Thick Fat,Guts,Sheer Force,3,0,0,1,86.4,72,60,30,20,30,25,237,1,ultra-common,mf
351,297,Hariyama,0,global,Fighting,"",Thick Fat,Guts,Sheer Force,3,0,0,2.3,253.8,144,120,60,40,60,50,474,1,common,mf
352,298,Azurill,0,global,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,3,0,0,0.2,2,50,20,40,20,40,20,190,1,ultra-common,mf
353,299,Nosepass,0,global,Rock,"",Sturdy,Magnet Pull,Sand Force,3,0,0,1,97,30,45,135,45,90,30,375,1,ultra-common,mf
354,300,Skitty,0,global,Normal,"",Cute Charm,Normalize,Wonder Skin,3,0,0,0.6,11,50,45,45,35,35,50,260,1,ultra-common,mf
355,301,Delcatty,0,global,Normal,"",Cute Charm,Normalize,Wonder Skin,3,0,0,1.1,32.6,70,65,65,55,55,90,400,1,ultra-common,mf
356,302,Sableye,0,global,Dark,Ghost,Keen Eye,Stall,Prankster,3,0,0,0.5,11,50,75,75,65,65,50,380,1,ultra-common,mf
357,302,Mega Sableye,0,global,Dark,Ghost,Magic Bounce,"","",3,0,1,0.5,161,50,85,125,85,115,20,480,1,common,mf
358,303,Mawile,0,global,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,3,0,0,0.6,11.5,50,85,85,55,55,50,380,1,ultra-common,mf
359,303,Mega Mawile,0,global,Steel,Fairy,Huge Power,"","",3,0,1,1,23.5,50,105,125,55,95,50,480,1,common,mf
360,304,Aron,0,global,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3,0,0,0.4,60,50,70,100,40,40,30,330,1,ultra-common,mf
361,305,Lairon,0,global,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3,0,0,0.9,120,60,90,140,50,50,40,430,1,common,mf
362,306,Aggron,0,global,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3,0,0,2.1,360,70,110,180,60,60,50,530,1,rare,mf
363,306,Mega Aggron,0,global,Steel,"",Filter,"","",3,0,1,2.2,395,70,140,230,60,80,50,630,1,rare,mf
364,307,Meditite,0,global,Fighting,Psychic,Pure Power,"",Telepathy,3,0,0,0.6,11.2,30,40,55,40,55,60,280,1,ultra-common,fo
365,308,Medicham,0,global,Fighting,Psychic,Pure Power,"",Telepathy,3,0,0,1.3,31.5,60,60,75,60,75,80,410,1,ultra-common,fo
366,308,Mega Medicham,0,global,Fighting,Psychic,Pure Power,"","",3,0,1,1.3,31.5,60,100,85,80,85,100,510,1,common,fo
367,309,Electrike,0,global,Electric,"",Static,Lightning Rod,Minus,3,0,0,0.6,15.2,40,45,40,65,40,65,295,1,ultra-common,mf
368,310,Manectric,0,global,Electric,"",Static,Lightning Rod,Minus,3,0,0,1.5,40.2,70,75,60,105,60,105,475,1,common,mf
369,310,Mega Manectric,0,global,Electric,"",Intimidate,"","",3,0,1,1.8,44,70,75,80,135,80,135,575,1,rare,mf
370,311,Plusle,0,global,Electric,"",Plus,"",Lightning Rod,3,0,0,0.4,4.2,60,50,40,85,75,95,405,1,ultra-common,mf
371,312,Minun,0,global,Electric,"",Minus,"",Lightning Rod,3,0,0,0.4,4.2,60,40,50,75,85,95,405,1,ultra-common,mf
372,313,Volbeat,0,global,Bug,"",Illuminate,Swarm,Prankster,3,0,0,0.7,17.7,65,73,75,47,85,85,430,1,common,mo
373,314,Illumise,0,global,Bug,"",Oblivious,Tinted Lens,Prankster,3,0,0,0.6,17.7,65,47,75,73,85,85,430,1,common,fo
374,315,Roselia,0,global,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,3,0,0,0.3,2,50,60,45,100,80,65,400,1,ultra-common,fo
375,316,Gulpin,0,global,Poison,"",Liquid Ooze,Sticky Hold,Gluttony,3,0,0,0.4,10.3,70,43,53,43,53,40,302,1,ultra-common,fo
376,317,Swalot,0,global,Poison,"",Liquid Ooze,Sticky Hold,Gluttony,3,0,0,1.7,80,100,73,83,73,83,55,467,1,common,fo
